name,synonyms
Glioma,"['Lower Grade Glioma', 'brain malignant glioma', 'malignant glioma of brain']"
Granulosa cell cancer,"['Granulosa cell tumor', 'Adult Type', 'GRCT', 'Granulosa Cell Neoplasm', 'Granulosa Cell Tumor', 'Granulosa Cell Tumour', 'Malignant Granulosa Cell Neoplasm', 'Sarcomatoid', 'granulosa cell tumor adult type', 'granulosa cell tumor sarcomatoid', 'granulosa cell tumor undetermined', 'neoplasm of granulosa cell', 'tumor of granulosa cell', 'tumour of granulosa cell']"
Head and neck cancer,"['Head And Neck Neoplasm', 'Head And Neck Tumours', 'Head/neck Neoplasm', 'Tumor Of Head And Neck', 'cancer of craniocervical region', 'cancer of head and neck', 'cancer of the head and neck', 'craniocervical region cancer', 'head and neck cancer', 'head and neck malignant neoplasia', 'head and neck tumors', 'malignant craniocervical region neoplasm', 'malignant head and neck neoplasm', 'malignant head and neck tumor', 'malignant head and neck tumour', 'malignant neoplasm of craniocervical region', 'malignant neoplasm of head and neck', 'malignant neoplasm of the head and neck', 'malignant tumor of head and neck', 'malignant tumor of the head and neck', 'malignant tumour of head and neck', 'malignant tumour of the head and neck', 'tumour of head and neck']"
Hemangiopericytoma,"['Haemangiopericytic Meningioma', 'Hemangiopericytoma', 'Malignant', 'Malignant Hemangiopericytoma', 'haemangiopericytic meningioma [obs]', 'hemangiopericytoma malignant']"
Hematologic cancer,"['Blood Cancer', 'Hematologic Malignancy', 'Hematologic Neoplasm', 'Hematological Tumors', 'Hematopoietic And Lymphoid System Tumor', 'Hematopoietic Cancer', 'Hematopoietic Neoplasm', 'Hematopoietic Tumors', 'Malignant Hematopoietic Neoplasm', 'blood neoplasm', 'blood tumor', 'blood tumour', 'haematological tumours', 'haematopoietic and lymphoid system tumour', 'haematopoietic cancer', 'haematopoietic neoplasm', 'haematopoietic system neoplasm', 'haematopoietic system tumour', 'haematopoietic tumours', 'hematologic cancer', 'hematopoietic and lymphoid system neoplasm', 'hematopoietic system neoplasm', 'hematopoietic system tumor', 'malignant haematopoietic neoplasm', 'neoplasm of blood', 'neoplasm of haematopoietic system', 'neoplasm of hematopoietic system', 'tumor of blood', 'tumor of hematopoietic system', 'tumour of blood', 'tumour of haematopoietic system']"
Hepatoblastoma,"['HBL', 'hepatoblastoma', 'hepatoblastoma malignant', 'paediatric embryonal hepatoma', 'paediatric hepatoblastoma', 'pediatric embryonal hepatoma', 'pediatric hepatoblastoma']"
Histiocytoma,['histiocytoma']
Inflammatory myofibroblastic cancer,"['Inflammatory Myofibroblastic Tumor', 'IMT', 'inflammatory fibrosarcoma', 'inflammatory myofibroblastic neoplasm', 'inflammatory myofibroblastic tumor', 'inflammatory pseudotumor']"
Intrahepatic cholangiocarcinoma,"['Adult Primary Cholangiocarcinoma', 'Adult Primary Cholangiocellular Carcinoma', 'CC', 'CCA', 'Cholangiocar. intra/extrahepatic', 'Cholangiocellular carcinoma', 'Cholangiosarcoma', 'bile duct cancer', 'cholangiocarcinoma', 'cholangiocarcinoma intrahepatic and extrahepatic bile ducts', 'cholangiocarcinoma malignant', 'intrahepatic bile duct cancer']"
Kidney cancer,"['Malignant Neoplasm Of Kidney Except Pelvis', 'Malignant Tumour Of Kidney', 'Renal Cancer', 'cancer of kidney', 'kidney cancer', 'malignant kidney neoplasm', 'malignant kidney tumor', 'malignant kidney tumour', 'malignant neoplasm of kidney', 'malignant neoplasm of the kidney', 'malignant renal neoplasm', 'malignant renal tumor', 'malignant renal tumour', 'malignant tumor of kidney', 'malignant tumor of the kidney', 'malignant tumour of the kidney']"
Laryngeal cancer,"['Cancer Of Larynx', 'Carcinoma Of Larynx', 'cancer of the larynx', 'carcinoma of the larynx', 'laryngeal cancer', 'laryngeal carcinoma', 'laryngeal throat cancer', 'larynx carcinoma']"
Leukemia,"['blood', 'leukaemia', 'leukaemia NOS', 'leukemia', 'leukemia disease', 'leukemia malignant', 'leukemias', 'leukemias general']"
Liposarcoma,"['Lipomatous Cancer', 'lip sarcoma', 'liposarcoma', 'liposarcoma malignant', 'sarcoma of lip']"
